,date,district,site_code,product_code,pred_share_districtlev,agg_level
11011,2016-01-01,ANYAMA,C1084,AS27132,0.8391304347826086,district
7605,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1062,AS27138,0.09853092183386901,district
26556,2016-01-01,TOUMODI,C2069,AS27133,0.15565717758545616,district
4772,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1030,AS27133,0.14516585178784616,district
11056,2016-01-01,ANYAMA,C1084,AS27133,0.14909968774536114,district
14414,2016-01-01,SIKENSI,C1098,AS27139,0.1,district
19740,2016-01-01,BOUAFLE,C2011,AS27000,0.9735795454545455,district
32832,2016-01-01,BONDOUKOU,C4002,AS27134,0.43271885297096413,district
7560,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1062,AS27137,0.3050501484410592,district
11101,2016-01-01,ANYAMA,C1084,AS27134,0.3192979229825663,district
29827,2016-01-01,KATIOLA,C3013,AS27139,0.0,district
1466,2016-01-01,ABOBO-EST,C1011,AS27134,0.1356281500745127,district
7515,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1062,AS27134,0.08255938180475919,district
14369,2016-01-01,SIKENSI,C1098,AS27138,0.06598677403707365,district
4817,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1030,AS27134,0.13620344646834776,district
11146,2016-01-01,ANYAMA,C1084,AS27137,0.681837489382785,district
31742,2016-01-01,NIAKARAMADOUGOU,C3022,AS27134,0.24389995311489718,district
11975,2016-01-01,DABOU,C1088,AS27000,0.7805011106029578,district
36328,2016-01-01,TANDA,C4026,AS27138,0.23203844842237756,district
32412,2016-01-01,ABENGOUROU,C4001,AS17005,0.0,district
12681,2016-01-01,GRAND-BASSAM,C1090,AS27133,0.6224432307696599,district
32418,2016-01-01,ABENGOUROU,C4001,AS27000,0.7129816057837706,district
31530,2016-01-01,KORHOGO,C3021,AS27132,0.13700166819293189,district
23791,2016-01-01,LAKOTA,C2059,AS27134,0.2717741666231764,district
31528,2016-01-01,KORHOGO,C3021,AS27000,0.0,district
13429,2016-01-01,JACQUEVILLE,C1092,AS27137,0.17322175759444386,district
38152,2016-01-01,ODIENNE,C5003,AS27132,0.6691830731434556,district
12726,2016-01-01,GRAND-BASSAM,C1090,AS27134,0.6312475468031786,district
28026,2016-01-01,GUEYO,C2131,AS27139,0.8,district
26127,2016-01-01,TIEBISSOU,C2068,AS17005,0.0,district
747,2016-01-01,ABOISSO,C1008,AS27134,0.7493783064929197,district
23827,2016-01-01,LAKOTA,C2059,AS27137,0.08155533794103302,district
3008,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1024,AS27133,0.1351604073585236,district
17746,2016-01-01,DALOA,C2003,AS46000,0.06165153923536162,district
32553,2016-01-01,ABENGOUROU,C4001,AS27134,1.0,district
29446,2016-01-01,FERKESSEDOUGOU,C3012,AS27138,0.06598677403707365,district
961,2016-01-01,TIASSALE,C1009,AS27133,0.1416944088218634,district
12512,2016-01-01,FRESCO,C1089,AS27139,0.0,district
31537,2016-01-01,KORHOGO,C3021,AS27133,0.06133375518809168,district
3199,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1024,AS46000,0.17923662998073928,district
23707,2016-01-01,LAKOTA,C2059,AS27132,0.14402381640281464,district
702,2016-01-01,ABOISSO,C1008,AS27133,0.906092416267471,district
27981,2016-01-01,GUEYO,C2131,AS27138,0.06288157509744438,district
2963,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1024,AS27132,0.12669965373003306,district
12557,2016-01-01,GRAND-BASSAM,C1090,AS17005,0.0,district
12591,2016-01-01,GRAND-BASSAM,C1090,AS27000,0.6516507279159434,district
13474,2016-01-01,JACQUEVILLE,C1092,AS27139,0.1,district
5606,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1051,AS27133,0.06060365817535762,district
23746,2016-01-01,LAKOTA,C2059,AS27133,0.07207919030454463,district
12636,2016-01-01,GRAND-BASSAM,C1090,AS27132,0.9635042735042735,district
35847,2016-01-01,PRIKRO,C4025,AS27132,0.10268009548179642,district
26215,2016-01-01,TIEBISSOU,C2068,AS27133,0.07590249315107292,district
18332,2016-01-01,GAGNOA,C2006,AS27134,0.7934322431359903,district
12771,2016-01-01,GRAND-BASSAM,C1090,AS27137,0.11749920611899163,district
13384,2016-01-01,JACQUEVILLE,C1092,AS27134,0.7388229024151871,district
18287,2016-01-01,GAGNOA,C2006,AS27133,0.10799441899331759,district
26131,2016-01-01,TIEBISSOU,C2068,AS27000,0.8078568522826413,district
13249,2016-01-01,JACQUEVILLE,C1092,AS27000,0.7805011106029578,district
5945,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1054,AS27138,0.734574577623049,district
29782,2016-01-01,KATIOLA,C3013,AS27138,1.0,district
5900,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1054,AS27137,0.2055474657802357,district
34442,2016-01-01,DAOUKRO,C4019,AS17005,0.0,district
837,2016-01-01,ABOISSO,C1008,AS27138,0.0852119693643834,district
23963,2016-01-01,OUME,C2060,AS27132,1.0,district
24008,2016-01-01,OUME,C2060,AS27133,0.8,district
32463,2016-01-01,ABENGOUROU,C4001,AS27132,0.2187848848011833,district
35263,2016-01-01,M'BAHIAKRO,C4022,AS27132,0.08836723503880085,district
37107,2016-01-01,BONGOUANOU,C4054,AS27132,0.07404617045141705,district
5855,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1054,AS27134,0.4482843317617388,district
3098,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1024,AS27137,0.21532478281249082,district
38107,2016-01-01,ODIENNE,C5003,AS27000,0.7462760261522887,district
792,2016-01-01,ABOISSO,C1008,AS27137,0.08155533794103302,district
38007,2016-01-01,GUIGLO,C5002,AS27137,0.08155533794103302,district
12924,2016-01-01,GRAND-BASSAM,C1090,AS46000,0.18870858713486607,district
23918,2016-01-01,OUME,C2060,AS27000,0.7995339656162469,district
12816,2016-01-01,GRAND-BASSAM,C1090,AS27138,0.011662079806409703,district
31525,2016-01-01,KORHOGO,C3021,AS17005,0.0,district
3143,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1024,AS27138,0.14374066851739853,district
26176,2016-01-01,TIEBISSOU,C2068,AS27132,0.2013256028823725,district
13339,2016-01-01,JACQUEVILLE,C1092,AS27133,0.07489330165754673,district
12861,2016-01-01,GRAND-BASSAM,C1090,AS27139,0.0,district
36412,2016-01-01,TANDA,C4026,AS46000,0.028385468209574865,district
3053,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1024,AS27134,0.15031491162479022,district
18242,2016-01-01,GAGNOA,C2006,AS27132,0.16061995180786254,district
29380,2016-01-01,FERKESSEDOUGOU,C3012,AS27134,0.14961799413936577,district
24053,2016-01-01,OUME,C2060,AS27134,1.0,district
37098,2016-01-01,BONGOUANOU,C4054,AS27000,0.12808165315640818,district
13294,2016-01-01,JACQUEVILLE,C1092,AS27132,0.15662178466317492,district
32508,2016-01-01,ABENGOUROU,C4001,AS27133,0.07489330165754673,district
37116,2016-01-01,BONGOUANOU,C4054,AS27133,0.06414786654109379,district
18197,2016-01-01,GAGNOA,C2006,AS27000,0.7574008652140877,district
29335,2016-01-01,FERKESSEDOUGOU,C3012,AS27133,0.07489330165754673,district
18540,2016-01-01,SAN PEDRO,C2007,AS27000,0.7273823039754661,district
5548,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1051,AS27000,0.11268221277191601,district
5315,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1035,AS27133,0.17142601777859467,district
23371,2016-01-01,ISSIA,C2056,AS46000,0.034304696155845575,district
17520,2016-01-01,DALOA,C2003,AS27132,0.8,district
12110,2016-01-01,DABOU,C1088,AS27134,0.8452022588357611,district
27851,2016-01-01,GUEYO,C2131,AS27133,0.25173715856794604,district
5360,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1035,AS27134,0.16211130322934947,district
37179,2016-01-01,BONGOUANOU,C4054,AS27138,0.04491174246900323,district
32643,2016-01-01,ABENGOUROU,C4001,AS27138,0.06981007688360194,district
18771,2016-01-01,SAN PEDRO,C2007,AS46000,0.05409471627119041,district
24332,2016-01-01,ISSIA,C2061,AS27133,0.22965903405312998,district
5405,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1035,AS27137,0.06940573291043271,district
12155,2016-01-01,DABOU,C1088,AS27137,0.09795893945305277,district
614,2016-01-01,ABOISSO,C1008,AS27000,0.7699475916798499,district
34487,2016-01-01,DAOUKRO,C4019,AS27000,0.6449811130482725,district
37063,2016-01-01,BONGOUANOU,C4054,AS17005,0.0,district
24421,2016-01-01,SAKASSOU,C2062,AS17005,0.0,district
37170,2016-01-01,BONGOUANOU,C4054,AS27137,0.053472113522233244,district
24422,2016-01-01,SAKASSOU,C2062,AS27000,0.7234721016427345,district
6707,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1058,AS27000,0.2554376657824934,district
6752,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1058,AS27137,0.08155533794103302,district
37188,2016-01-01,BONGOUANOU,C4054,AS27139,0.0,district
24467,2016-01-01,SAKASSOU,C2062,AS27132,0.034321572711135465,district
5270,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1035,AS27132,0.1077760674430532,district
23332,2016-01-01,ISSIA,C2056,AS27139,0.0,district
18911,2016-01-01,SEGUELA,C2008,AS27137,0.24572771792605205,district
27811,2016-01-01,GUEYO,C2131,AS27132,0.14437688247769237,district
13867,2016-01-01,SASSANDRA,C1095,AS27133,0.006832724414747226,district
12020,2016-01-01,DABOU,C1088,AS27132,0.7250663679844582,district
3293,2016-01-01,ABOBO-EST,C1026,AS27132,0.9225334349268923,district
26350,2016-01-01,TIEBISSOU,C2068,AS27138,0.06278812083842045,district
13822,2016-01-01,SASSANDRA,C1095,AS27132,0.4162469905133097,district
18866,2016-01-01,SEGUELA,C2008,AS27133,0.07489330165754673,district
12065,2016-01-01,DABOU,C1088,AS27133,0.15320224423034484,district
17475,2016-01-01,DALOA,C2003,AS17005,0.6,district
36023,2016-01-01,PRIKRO,C4025,AS27138,0.05245852438680297,district
31582,2016-01-01,KORHOGO,C3021,AS27134,0.19231090975186094,district
40765,2016-01-01,ODIENNE,C5063,AS17005,0.0,district
17565,2016-01-01,DALOA,C2003,AS27133,0.36496593317475556,district
18630,2016-01-01,SAN PEDRO,C2007,AS27133,0.15042020773810522,district
26260,2016-01-01,TIEBISSOU,C2068,AS27134,0.1683757482070929,district
12372,2016-01-01,FRESCO,C1089,AS27133,0.061749593852927144,district
5498,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1035,AS46000,0.08382468464492096,district
2918,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1024,AS27000,0.14374066851739853,district
27936,2016-01-01,GUEYO,C2131,AS27137,0.9949999999999999,district
13522,2016-01-01,JACQUEVILLE,C1092,AS46000,0.11821148970951105,district
12417,2016-01-01,FRESCO,C1089,AS27134,0.30973725299603266,district
35702,2016-01-01,DAOUKRO,C4024,AS27133,0.13326443069216082,district
37161,2016-01-01,BONGOUANOU,C4054,AS27134,0.12784096434623426,district
18585,2016-01-01,SAN PEDRO,C2007,AS27132,0.41565641001837816,district
36193,2016-01-01,TANDA,C4026,AS27133,0.807140114007779,district
36373,2016-01-01,TANDA,C4026,AS27139,0.6,district
23662,2016-01-01,LAKOTA,C2059,AS27000,0.6360459912039949,district
24226,2016-01-01,OUME,C2060,AS46000,0.9,district
32598,2016-01-01,ABENGOUROU,C4001,AS27137,0.08568591342998758,district
12200,2016-01-01,DABOU,C1088,AS27138,0.6612627272610196,district
659,2016-01-01,ABOISSO,C1008,AS27132,0.24796844633005027,district
1070,2016-01-01,ABOBO-EST,C1010,AS27000,0.15803644753629248,district
2867,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1024,AS17005,0.0,district
3248,2016-01-01,ABOBO-EST,C1026,AS27000,0.0980068976520991,district
3244,2016-01-01,ABOBO-EST,C1026,AS17005,0.0,district
18720,2016-01-01,SAN PEDRO,C2007,AS27137,0.15453618275889758,district
13644,2016-01-01,ALEPE,C1093,AS27134,0.8343916562100839,district
38173,2016-01-01,ODIENNE,C5003,AS27133,0.07590249315107292,district
5450,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1035,AS27138,0.07479976861203427,district
27896,2016-01-01,GUEYO,C2131,AS27134,0.5200174411433791,district
12252,2016-01-01,DABOU,C1088,AS46000,0.06811601620832322,district
26305,2016-01-01,TIEBISSOU,C2068,AS27137,0.08155533794103302,district
13599,2016-01-01,ALEPE,C1093,AS27133,0.07590249315107292,district
17610,2016-01-01,DALOA,C2003,AS27134,0.5031543751877448,district
18675,2016-01-01,SAN PEDRO,C2007,AS27134,0.5593433967671279,district
24271,2016-01-01,ISSIA,C2061,AS27000,0.042151486550259555,district
17642,2016-01-01,DALOA,C2003,AS27137,0.5815674986580783,district
26082,2016-01-01,TABOU,C2066,AS46000,0.059047595209450444,district
19979,2016-01-01,BOUAFLE,C2011,AS27139,0.0,district
38101,2016-01-01,ODIENNE,C5003,AS17005,0.0,district
26866,2016-01-01,VAVOUA,C2070,AS27133,0.053706424889515846,district
9285,2016-01-01,YOPOUGON-EST,C1073,AS27134,0.8507251153592617,district
25316,2016-01-01,SOUBRE,C2064,AS27139,0.0,district
33361,2016-01-01,AKOUPE,C4015,AS27132,0.3227295147284189,district
25504,2016-01-01,TIASSALE,C2065,AS27132,0.27354949097411596,district
2331,2016-01-01,YOPOUGON-EST,C1017,AS27134,0.02241375887230031,district
25830,2016-01-01,TABOU,C2066,AS27133,0.06981007688360194,district
9738,2016-01-01,YOPOUGON-OUEST-SONGON,C1077,AS27000,0.8503208465432527,district
34207,2016-01-01,BOUNA,C4018,AS27132,0.048135234160914794,district
2234,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1015,AS46000,0.14584274464587624,district
15295,2016-01-01,TIASSALE,C1112,AS27137,0.12479258198208702,district
8378,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1069,AS27000,0.211864288743409,district
16467,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1413,AS27134,0.23216697349832177,district
16021,2016-01-01,SOUBRE,C1411,AS27132,0.2836633002199305,district
1929,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1015,AS27132,0.2943212567115379,district
33303,2016-01-01,AGNIBILEKROU,C4014,AS27138,0.06598677403707365,district
31776,2016-01-01,NIAKARAMADOUGOU,C3022,AS27137,0.1205884989327027,district
9828,2016-01-01,YOPOUGON-OUEST-SONGON,C1077,AS27133,0.45725531914893613,district
15450,2016-01-01,TIASSALE,C1112,AS46000,0.09062792373387149,district
31866,2016-01-01,NIAKARAMADOUGOU,C3022,AS27139,0.0,district
20743,2016-01-01,SEGUELA,C2041,AS27000,0.7857646334923588,district
21894,2016-01-01,DIDIEVI,C2051,AS27132,0.2166496685499238,district
21069,2016-01-01,BEOUMI,C2047,AS27137,0.31377850253004425,district
29602,2016-01-01,KATIOLA,C3013,AS27132,0.1333464584922719,district
25785,2016-01-01,TABOU,C2066,AS27000,0.7234721016427345,district
21210,2016-01-01,BOCANDA,C2049,AS27000,0.7297205223198768,district
16512,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1413,AS27137,0.26890938824986216,district
25549,2016-01-01,TIASSALE,C2065,AS27133,0.061749593852927144,district
9963,2016-01-01,YOPOUGON-OUEST-SONGON,C1077,AS27138,0.7504527629233511,district
35218,2016-01-01,M'BAHIAKRO,C4022,AS27000,0.4181147996942508,district
4063,2016-01-01,YOPOUGON-OUEST-SONGON,C1028,AS27133,0.35123723742733776,district
25226,2016-01-01,SOUBRE,C2064,AS27137,0.7721885700621712,district
33258,2016-01-01,AGNIBILEKROU,C4014,AS27137,0.08155533794103302,district
26752,2016-01-01,VAVOUA,C2070,AS17005,0.0,district
20833,2016-01-01,SEGUELA,C2041,AS27133,0.1706591615335851,district
21200,2016-01-01,BOCANDA,C2049,AS17005,0.0,district
25459,2016-01-01,TIASSALE,C2065,AS27000,0.8866417137707343,district
15976,2016-01-01,SOUBRE,C1411,AS27000,0.10178634344905765,district
9240,2016-01-01,YOPOUGON-EST,C1073,AS27133,0.8,district
4288,2016-01-01,COCODY-BINGERVILLE,C1029,AS27000,0.15644381777311062,district
4374,2016-01-01,COCODY-BINGERVILLE,C1029,AS27133,0.2605754834890316,district
21939,2016-01-01,DIDIEVI,C2051,AS27133,0.061749593852927144,district
2376,2016-01-01,YOPOUGON-EST,C1017,AS27137,0.0062182406204023145,district
15064,2016-01-01,TIASSALE,C1112,AS17005,0.0,district
21390,2016-01-01,BOCANDA,C2049,AS27137,0.25793803434417245,district
1829,2016-01-01,KOUMASSI-PORT BOUET-VRIDI,C1015,AS17005,0.0,district
20464,2016-01-01,DIVO,C2016,AS27134,0.6204493882091213,district
16422,2016-01-01,ADJAME-PLATEAU-ATTECOUBE,C1413,AS27133,0.5039010553622814,district
15115,2016-01-01,TIASSALE,C1112,AS27000,0.09077285977498464,district
26911,2016-01-01,VAVOUA,C2070,AS27134,0.3090968985399044,district
21480,2016-01-01,BOCANDA,C2049,AS27139,0.7,district
29020,2016-01-01,DABAKALA,C3011,AS27000,0.7044392466294453,district
9783,2016-01-01,YOPOUGON-OUEST-SONGON,C1077,AS27132,0.8562770562770561,district
26776,2016-01-01,VAVOUA,C2070,AS27000,0.7234721016427345,district
35935,2016-01-01,PRIKRO,C4025,AS27134,0.15330450001885176,district
